Title,Status,Looking for a Mentor?
"<a href=""https://github.com/jupyterhub/outreachy/issues/197"">[Outreachy Project Proposal]: JupyterHub Python projects common practices</a>","<img src=""https://img.shields.io/github/labels/jupyterhub/outreachy/status:%20scoping"">",Yes
"<a href=""https://github.com/jupyterhub/outreachy/issues/179"">[Outreachy Project Proposal]: EXAMPLE PROJECT PROPOSAL</a>","<img src=""https://img.shields.io/github/labels/jupyterhub/outreachy/status:%20scoping"">",Yes
